t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 
Power Charge [kW], 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 3.89000000036, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 
Power Buy [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.02301628152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], 0.0, -11.0, -11.0, -11.0, -11.0, 0.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, 0.0, -2.0158751658800007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Sell [kW], 0.0, 0.0, 0.0, 0.0, 0.0, -11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Resulting Power [kW], 0.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -7.97698371848, -11.0, -11.0, -11.0, 0.0, -2.01587516588, 0.0, 3.8900000003599997, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 
Energy [kWh], 33.33134969, 30.2757941344, 27.2202385789, 24.1646830233, 21.1091274678, 18.0535719122, 14.9980163567, 11.9424608011, 9.72663199042, 6.67107643487, 3.61552087931, 0.559965323756, 0.559965323756, 0.0, 0.0, 0.5, 2.975, 5.45, 7.925, 10.4, 12.875, 15.35, 17.825, 20.3, 22.775, 25.25, 27.725, 30.2, 32.675, 35.15, 37.625, 40.1, 42.575, 45.05, 47.525, 50.0, 
Current Price [EUR/MWh], 9.872421696, 9.872421696, 9.872421696, 9.872421696, 10.03128259, 10.03128259, 10.03128259, 10.03128259, 9.38718663, 9.38718663, 9.38718663, 9.38718663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -72.0, -72.0, -72.0, -81.75, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, -72.0, 
Existierender Preis [1/0], 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
