t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 
Power Charge [kW], 11.0, 11.0, 11.0, 11.0, 0.0, 11.0, 11.0, 11.0, -0.0, 
Power Buy [kW], 0.0, 0.0, 0.0, 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.0, 
Power Sell [kW], 0.0, -1.7763568394e-15, 0.0, -1.7763568394e-15, 0.0, -4.97379915032e-14, 0.0, -11.0, 0.0, 
Resulting Power [kW], 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 0.0, -11.0, 
Energy [kWh], 27.675, 30.15, 32.625, 35.1, 37.575, 40.05, 42.525, 45.0, 45.0, 
Current Price [EUR/MWh], 18.5136742, 28.45454545, 28.35824134, 27.91858506, 29.07738829, 19.96487409, 28.02101713, 32.22782019, 34.57349869, 
Existierender Preis [1/0], 1, 1, 1, 1, 1, 1, 1, 1, 1, 
