,Start_15,Ende_15,Energie [kWh],Leistung [kW],Kapazitaet [kWh],Finaler SOC [kWh],profits [EUR],trades [#],Initialer SOC [kWh]
59,2017-03-01 08:00:00,2017-03-01 17:00:00,5.5671087560000005,11,50,45,0.0,0,39.432891244
60,2017-03-02 08:00:00,2017-03-02 17:00:00,3.525484347,11,50,45,0.0,0,41.474515653
61,2017-03-03 08:00:00,2017-03-03 17:00:00,9.812397318,11,50,45,0.0,0,35.187602682
62,2017-03-04 08:00:00,2017-03-04 17:00:00,6.607224292000001,11,50,45,0.0,0,38.392775708
63,2017-03-05 08:00:00,2017-03-05 17:00:00,4.832123789,11,50,45,0.0,0,40.167876211
64,2017-03-06 08:00:00,2017-03-06 17:00:00,6.957775513,11,50,45,0.0,0,38.042224487
65,2017-03-07 08:00:00,2017-03-07 17:00:00,5.078571162,11,50,45,0.0,0,39.921428838
66,2017-03-08 08:00:00,2017-03-08 17:00:00,10.202852400000001,11,50,45,0.0,0,34.7971476
67,2017-03-09 08:00:00,2017-03-09 17:00:00,12.49813551,11,50,45,0.0,0,32.50186449
68,2017-03-10 08:00:00,2017-03-10 17:00:00,12.35030526,11,50,45,0.0,0,32.64969474
69,2017-03-11 08:00:00,2017-03-11 17:00:00,5.418273062000001,11,50,45,0.0,0,39.581726938
70,2017-03-12 08:00:00,2017-03-12 17:00:00,0.123023025,11,50,45,0.0,0,44.876976975
71,2017-03-13 08:00:00,2017-03-13 17:00:00,4.972780627,11,50,45,0.0,0,40.027219373
72,2017-03-14 08:00:00,2017-03-14 17:00:00,13.16859315,11,50,45,0.0,0,31.83140685
73,2017-03-15 08:00:00,2017-03-15 17:00:00,1.1762444509999999,11,50,45,0.0,0,43.823755549
74,2017-03-16 08:00:00,2017-03-16 17:00:00,1.6484017030000002,11,50,45,0.0,0,43.351598297
75,2017-03-17 08:00:00,2017-03-17 17:00:00,2.218727958,11,50,45,0.0,0,42.781272042
76,2017-03-18 08:00:00,2017-03-18 17:00:00,5.332309891,11,50,45,0.0,0,39.667690109
77,2017-03-19 08:00:00,2017-03-19 17:00:00,0.483447167,11,50,45,0.0,0,44.516552833
78,2017-03-20 08:00:00,2017-03-20 17:00:00,4.319501352,11,50,45,0.0,0,40.680498648
79,2017-03-21 08:00:00,2017-03-21 17:00:00,4.930051565,11,50,45,0.0,0,40.069948435
80,2017-03-22 08:00:00,2017-03-22 17:00:00,13.84800213,11,50,45,0.0,0,31.151997870000002
81,2017-03-23 08:00:00,2017-03-23 17:00:00,10.03487188,11,50,45,0.0,0,34.96512812
82,2017-03-24 08:00:00,2017-03-24 17:00:00,0.58745881,11,50,45,0.0,0,44.41254119
83,2017-03-25 08:00:00,2017-03-25 17:00:00,5.296270168,11,50,45,0.0,0,39.703729832
84,2017-03-26 08:00:00,2017-03-26 17:00:00,12.61591309,11,50,45,0.0,0,32.38408691
85,2017-03-27 08:00:00,2017-03-27 17:00:00,13.32947141,11,50,45,0.0,0,31.67052859
86,2017-03-28 08:00:00,2017-03-28 17:00:00,12.66637746,11,50,45,0.0,0,32.33362254
87,2017-03-29 08:00:00,2017-03-29 17:00:00,1.154227479,11,50,45,0.0,0,43.845772521
88,2017-03-30 08:00:00,2017-03-30 17:00:00,6.9116595510000005,11,50,45,0.0,0,38.088340449
89,2017-03-31 08:00:00,2017-03-31 17:00:00,3.2276501189999998,11,50,45,0.0,0,41.772349881
90,2017-04-01 08:00:00,2017-04-01 17:00:00,6.007870091,11,50,45,0.0,0,38.992129909
91,2017-04-02 08:00:00,2017-04-02 17:00:00,5.488148662,11,50,45,0.0,0,39.511851338
92,2017-04-03 08:00:00,2017-04-03 17:00:00,6.847505279,11,50,45,0.0,0,38.152494721
93,2017-04-04 08:00:00,2017-04-04 17:00:00,8.258260887,11,50,45,0.0,0,36.741739113
94,2017-04-05 08:00:00,2017-04-05 17:00:00,9.978302209,11,50,45,0.0,0,35.021697791
95,2017-04-06 08:00:00,2017-04-06 17:00:00,0.11652925199999999,11,50,45,0.0,0,44.883470748
96,2017-04-07 08:00:00,2017-04-07 17:00:00,9.714473531,11,50,45,0.0,0,35.285526469000004
97,2017-04-08 08:00:00,2017-04-08 17:00:00,4.674831141,11,50,45,0.0,0,40.325168859
98,2017-04-09 08:00:00,2017-04-09 17:00:00,2.1196814880000003,11,50,45,0.0,0,42.880318512
99,2017-04-10 08:00:00,2017-04-10 17:00:00,8.050150698,11,50,45,0.0,0,36.949849302000004
100,2017-04-11 08:00:00,2017-04-11 17:00:00,6.717506025,11,50,45,0.0,0,38.282493975
101,2017-04-12 08:00:00,2017-04-12 17:00:00,9.930184401,11,50,45,0.0,0,35.069815599
102,2017-04-13 08:00:00,2017-04-13 17:00:00,6.313488049,11,50,45,0.0,0,38.686511951
103,2017-04-14 08:00:00,2017-04-14 17:00:00,9.319218784,11,50,45,0.0,0,35.680781216
104,2017-04-15 08:00:00,2017-04-15 17:00:00,7.8451009879999996,11,50,45,0.0,0,37.154899012
105,2017-04-16 08:00:00,2017-04-16 17:00:00,9.156553326000001,11,50,45,0.0,0,35.843446674
106,2017-04-17 08:00:00,2017-04-17 17:00:00,0.770928878,11,50,45,0.0,0,44.229071122
107,2017-04-18 08:00:00,2017-04-18 17:00:00,3.988625212,11,50,45,0.0,0,41.011374788
108,2017-04-19 08:00:00,2017-04-19 17:00:00,10.78646336,11,50,45,0.0,0,34.21353664
109,2017-04-20 08:00:00,2017-04-20 17:00:00,1.113576846,11,50,45,0.0,0,43.886423154
110,2017-04-21 08:00:00,2017-04-21 17:00:00,11.79484548,11,50,45,0.0,0,33.20515452
111,2017-04-22 08:00:00,2017-04-22 17:00:00,5.922874847,11,50,45,0.0,0,39.077125153
112,2017-04-23 08:00:00,2017-04-23 17:00:00,3.144761252,11,50,45,0.0,0,41.855238748
113,2017-04-24 08:00:00,2017-04-24 17:00:00,2.4750081440000002,11,50,45,0.0,0,42.524991856
114,2017-04-25 08:00:00,2017-04-25 17:00:00,3.3245967989999996,11,50,45,0.0,0,41.675403201
115,2017-04-26 08:00:00,2017-04-26 17:00:00,7.437167411,11,50,45,0.0,0,37.562832589
116,2017-04-27 08:00:00,2017-04-27 17:00:00,9.809663275,11,50,45,0.0,0,35.190336725
117,2017-04-28 08:00:00,2017-04-28 17:00:00,10.28336843,11,50,45,0.0,0,34.716631570000004
118,2017-04-29 08:00:00,2017-04-29 17:00:00,11.53973223,11,50,45,0.0,0,33.46026777
119,2017-04-30 08:00:00,2017-04-30 17:00:00,11.27339032,11,50,45,0.0,0,33.726609679999996
120,2017-05-01 08:00:00,2017-05-01 17:00:00,6.494847654,11,50,45,0.0,0,38.505152346
121,2017-05-02 08:00:00,2017-05-02 17:00:00,7.417917527,11,50,45,0.0,0,37.582082473
122,2017-05-03 08:00:00,2017-05-03 17:00:00,3.933506496,11,50,45,0.0,0,41.066493504
123,2017-05-04 08:00:00,2017-05-04 17:00:00,10.6169059,11,50,45,0.0,0,34.3830941
124,2017-05-05 08:00:00,2017-05-05 17:00:00,12.37681581,11,50,45,0.0,0,32.62318419
125,2017-05-06 08:00:00,2017-05-06 17:00:00,4.165454812,11,50,45,0.0,0,40.834545188
126,2017-05-07 08:00:00,2017-05-07 17:00:00,8.687861956,11,50,45,0.0,0,36.312138044
127,2017-05-08 08:00:00,2017-05-08 17:00:00,6.612452575,11,50,45,0.0,0,38.387547425
128,2017-05-09 08:00:00,2017-05-09 17:00:00,4.219243712,11,50,45,0.0,0,40.780756288
129,2017-05-10 08:00:00,2017-05-10 17:00:00,5.077712558,11,50,45,0.0,0,39.922287442
130,2017-05-11 08:00:00,2017-05-11 17:00:00,7.9028244139999995,11,50,45,0.0,0,37.097175586
131,2017-05-12 08:00:00,2017-05-12 17:00:00,13.43928891,11,50,45,0.0,0,31.560711089999998
132,2017-05-13 08:00:00,2017-05-13 17:00:00,12.04894115,11,50,45,0.0,0,32.95105885
133,2017-05-14 08:00:00,2017-05-14 17:00:00,12.02875259,11,50,45,0.0,0,32.971247410000004
134,2017-05-15 08:00:00,2017-05-15 17:00:00,12.70805591,11,50,45,0.0,0,32.29194409
135,2017-05-16 08:00:00,2017-05-16 17:00:00,8.279591965,11,50,45,0.0,0,36.720408035
136,2017-05-17 08:00:00,2017-05-17 17:00:00,4.452949673,11,50,45,0.0,0,40.547050327
137,2017-05-18 08:00:00,2017-05-18 17:00:00,9.326263421,11,50,45,0.0,0,35.673736579
138,2017-05-19 08:00:00,2017-05-19 17:00:00,2.225707517,11,50,45,0.0,0,42.774292482999996
139,2017-05-20 08:00:00,2017-05-20 17:00:00,5.209218556000001,11,50,45,0.0,0,39.790781444
140,2017-05-21 08:00:00,2017-05-21 17:00:00,14.77230242,11,50,45,0.0,0,30.227697579999997
141,2017-05-22 08:00:00,2017-05-22 17:00:00,1.58801395,11,50,45,0.0,0,43.41198605
142,2017-05-23 08:00:00,2017-05-23 17:00:00,10.71346645,11,50,45,0.0,0,34.28653355
143,2017-05-24 08:00:00,2017-05-24 17:00:00,4.270938417,11,50,45,0.0,0,40.729061583000004
144,2017-05-25 08:00:00,2017-05-25 17:00:00,4.231777888,11,50,45,0.0,0,40.768222112000004
145,2017-05-26 08:00:00,2017-05-26 17:00:00,2.922383378,11,50,45,0.0,0,42.077616622
146,2017-05-27 08:00:00,2017-05-27 17:00:00,8.903991719,11,50,45,0.0,0,36.096008280999996
147,2017-05-28 08:00:00,2017-05-28 17:00:00,7.340747358,11,50,45,0.0,0,37.659252642
148,2017-05-29 08:00:00,2017-05-29 17:00:00,8.273409549,11,50,45,0.0,0,36.726590451
149,2017-05-30 08:00:00,2017-05-30 17:00:00,1.9972842769999999,11,50,45,0.0,0,43.002715723
150,2017-05-31 08:00:00,2017-05-31 17:00:00,14.33968982,11,50,45,0.0,0,30.66031018
151,2017-06-01 08:00:00,2017-06-01 17:00:00,8.613051375,11,50,45,0.0,0,36.386948625
152,2017-06-02 08:00:00,2017-06-02 17:00:00,3.166038657,11,50,45,0.0,0,41.833961343
153,2017-06-03 08:00:00,2017-06-03 17:00:00,12.61156435,11,50,45,0.0,0,32.38843565
154,2017-06-04 08:00:00,2017-06-04 17:00:00,9.551018711000001,11,50,45,0.0,0,35.448981289
155,2017-06-05 08:00:00,2017-06-05 17:00:00,0.676863634,11,50,45,0.0,0,44.323136366
156,2017-06-06 08:00:00,2017-06-06 17:00:00,7.200658552999999,11,50,45,0.0,0,37.799341447
157,2017-06-07 08:00:00,2017-06-07 17:00:00,10.77283207,11,50,45,0.0,0,34.22716793
158,2017-06-08 08:00:00,2017-06-08 17:00:00,9.386174652000001,11,50,45,0.0,0,35.613825348
159,2017-06-09 08:00:00,2017-06-09 17:00:00,0.11291292,11,50,45,0.0,0,44.88708708
160,2017-06-10 08:00:00,2017-06-10 17:00:00,0.925871572,11,50,45,0.0,0,44.074128428
161,2017-06-11 08:00:00,2017-06-11 17:00:00,6.70058881,11,50,45,0.0,0,38.29941119
162,2017-06-12 08:00:00,2017-06-12 17:00:00,9.79354267,11,50,45,0.0,0,35.20645733
163,2017-06-13 08:00:00,2017-06-13 17:00:00,10.63976833,11,50,45,0.0,0,34.36023167
164,2017-06-14 08:00:00,2017-06-14 17:00:00,5.895387259,11,50,45,0.0,0,39.104612741
165,2017-06-15 08:00:00,2017-06-15 17:00:00,7.872047707,11,50,45,0.0,0,37.127952293
166,2017-06-16 08:00:00,2017-06-16 17:00:00,9.608503345,11,50,45,0.0,0,35.391496655
167,2017-06-17 08:00:00,2017-06-17 17:00:00,9.680935337000001,11,50,45,0.0,0,35.319064663
168,2017-06-18 08:00:00,2017-06-18 17:00:00,9.526027222,11,50,45,0.0,0,35.473972778000004
169,2017-06-19 08:00:00,2017-06-19 17:00:00,10.34315518,11,50,45,0.0,0,34.65684482
170,2017-06-20 08:00:00,2017-06-20 17:00:00,12.60547748,11,50,45,0.0,0,32.39452252
171,2017-06-21 08:00:00,2017-06-21 17:00:00,7.45446867,11,50,45,0.0,0,37.54553133
172,2017-06-22 08:00:00,2017-06-22 17:00:00,11.94045034,11,50,45,0.0,0,33.05954966
173,2017-06-23 08:00:00,2017-06-23 17:00:00,13.26738986,11,50,45,0.0,0,31.73261014
174,2017-06-24 08:00:00,2017-06-24 17:00:00,3.3494531060000003,11,50,45,0.0,0,41.650546894
175,2017-06-25 08:00:00,2017-06-25 17:00:00,5.357446232,11,50,45,0.0,0,39.642553768
176,2017-06-26 08:00:00,2017-06-26 17:00:00,4.159260423,11,50,45,0.0,0,40.840739577
177,2017-06-27 08:00:00,2017-06-27 17:00:00,3.941253125,11,50,45,0.0,0,41.058746875
178,2017-06-28 08:00:00,2017-06-28 17:00:00,11.03144726,11,50,45,0.0,0,33.96855274
179,2017-06-29 08:00:00,2017-06-29 17:00:00,7.9660640439999995,11,50,45,0.0,0,37.033935956
180,2017-06-30 08:00:00,2017-06-30 17:00:00,3.056918158,11,50,45,0.0,0,41.943081842
181,2017-07-01 08:00:00,2017-07-01 17:00:00,2.159824188,11,50,45,0.0,0,42.840175812
182,2017-07-02 08:00:00,2017-07-02 17:00:00,1.154900722,11,50,45,0.0,0,43.845099278
183,2017-07-03 08:00:00,2017-07-03 17:00:00,7.137508727,11,50,45,0.0,0,37.862491273
184,2017-07-04 08:00:00,2017-07-04 17:00:00,4.637589661,11,50,45,0.0,0,40.362410339
185,2017-07-05 08:00:00,2017-07-05 17:00:00,4.151785317,11,50,45,0.0,0,40.848214683
186,2017-07-06 08:00:00,2017-07-06 17:00:00,14.49155217,11,50,45,0.0,0,30.50844783
187,2017-07-07 08:00:00,2017-07-07 17:00:00,9.380844201,11,50,45,0.0,0,35.619155799
188,2017-07-08 08:00:00,2017-07-08 17:00:00,12.28247649,11,50,45,0.0,0,32.71752351
189,2017-07-09 08:00:00,2017-07-09 17:00:00,3.428884364,11,50,45,0.0,0,41.571115636
190,2017-07-10 08:00:00,2017-07-10 17:00:00,5.786723812000001,11,50,45,0.0,0,39.213276188
191,2017-07-11 08:00:00,2017-07-11 17:00:00,12.76806379,11,50,45,0.0,0,32.23193621
192,2017-07-12 08:00:00,2017-07-12 17:00:00,14.26060499,11,50,45,0.0,0,30.739395010000003
193,2017-07-13 08:00:00,2017-07-13 17:00:00,10.78846549,11,50,45,0.0,0,34.21153451
194,2017-07-14 08:00:00,2017-07-14 17:00:00,10.20268108,11,50,45,0.0,0,34.79731892
195,2017-07-15 08:00:00,2017-07-15 17:00:00,8.442444365,11,50,45,0.0,0,36.557555635
196,2017-07-16 08:00:00,2017-07-16 17:00:00,3.890294163,11,50,45,0.0,0,41.109705837
