t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 
Power Charge [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 9.98024691378, 11.0, 0.0, 3.6, 0.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, -0.0, 
Power Buy [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.98024691378, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.0, 
Power Sell [kW], 0.0, 0.0, 0.0, 0.0, 0.0, -9.98024691378, -11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Resulting Power [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6, 9.98024691378, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, -11.0, 
Energy [kWh], 12.2444444444, 12.2444444444, 12.2444444444, 12.2444444444, 12.2444444444, 12.2444444444, 12.2444444444, 12.2444444444, 12.2444444444, 13.0544444444, 15.3, 17.775, 20.25, 22.725, 25.2, 27.675, 30.15, 32.625, 35.1, 37.575, 40.05, 42.525, 45.0, 
Current Price [EUR/MWh], 42.5, 0.0, 38.83306122, 35.94250161, 35.90479957, 35.81591362, 35.33033286, 35.22448, 35.01054178, 34.79230622, 33.97308119, 34.24724247, 34.28566853, 34.2703061, 34.39192268, 33.89186886, 33.92914982, 33.94168592, 33.94511361, 32.60539432, 32.60539432, 32.60539432, 32.60539432, 
Existierender Preis [1/0], 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
