t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 
Power Charge [kW], 11.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, -0.0, 
Power Buy [kW], 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.0, 
Power Sell [kW], 0.0, 0.0, 0.0, 0.0, 0.0, -4.26325641456e-14, -11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Resulting Power [kW], 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, -11.0, 
Energy [kWh], 12.825, 15.3, 17.775, 20.25, 22.725, 25.2, 27.675, 27.675, 30.15, 32.625, 35.1, 37.575, 40.05, 42.525, 45.0, 
Current Price [EUR/MWh], 21.93340081, 21.03090909, 20.66004091, 29.19782524, 29.757398499999997, 30.45678095, 30.70667811, 28.75035438, 28.81695118, 28.90099614, 28.99482236, 28.69037498, 28.82822536, 28.99704845, 29.16810841, 
Existierender Preis [1/0], 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
