t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 
Power Charge [kW], 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 11.0, 11.0, 0.0, 8.07000000031, 0.0, 0.0, 5.18714111564, 11.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 2.09000000036, 8.910000000050003, 11.0, 2.08999999968, 
Power Buy [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], 0.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Sell [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -22.0, 0.0, 0.0, -2.09000000036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Resulting Power [kW], 0.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, 11.0, 0.0, 5.97999999995, 11.0, 11.0, 5.18714111564, 11.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 2.09000000036, 8.910000000050001, 11.0, 2.08999999968, 
Energy [kWh], 33.33134969, 30.2757941344, 27.2202385789, 24.1646830233, 21.1091274678, 18.0535719122, 14.9980163567, 11.9424608011, 8.88690524556, 5.83134969, 2.77579413444, 5.25079413444, 4.67023857889, 5.75079413443, 8.22579413443, 10.7007941344, 11.561111111, 14.036111111, 13.4555555554, 15.9305555554, 18.4055555554, 20.8805555554, 23.3555555554, 25.8305555554, 28.3055555554, 30.7805555554, 33.2555555554, 35.7305555554, 38.2055555554, 40.6805555554, 43.1555555554, 45.6305555554, 45.6305555555, 47.525, 50.0, 49.9999999999, 
Current Price [EUR/MWh], 3.355759687, 3.355759687, 3.355759687, 2.514929554, 2.072556493, 2.072556493, 2.072556493, 0.358741443, 1.612439261, 1.612439261, 0.20352831899999999, -0.21634795699999998, -0.14185022, -0.14185022, -0.14185022, -0.14185022, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 
Existierender Preis [1/0], 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
