t, 0, 1, 
Power Charge [kW], 0.0, 11.0, 
Power Buy [kW], 0.0, -0.0, 
Power Discharge [kW], 0.0, 0.0, 
Power Sell [kW], 0.0, 0.0, 
Resulting Power [kW], 0.0, 11.0, 
Energy [kWh], 42.525, 45.0, 
Current Price [EUR/MWh], 35.93333333, 28.0, 
Existierender Preis [1/0], 1, 1, 
