t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 
Power Charge [kW], -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 0.0, 
Power Buy [kW], 4.01, 22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], -4.01, -11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Sell [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.4, -0.130864197333, -11.0, -11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.0, 
Resulting Power [kW], 0.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6, 10.8691358027, 0.0, 0.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, -11.0, 
Energy [kWh], 21.9444444444, 21.9444444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 24.4194444444, 25.2294444444, 27.675, 27.675, 27.675, 30.15, 32.625, 35.1, 37.575, 40.05, 42.525, 45.0, 
Current Price [EUR/MWh], 37.11111111, 25.01150442, 31.97469066, 34.04801754, 34.31113907, 33.38313637, 32.91606795, 33.91916866, 33.52348124, 33.52259794, 33.52259794, 33.20090441, 33.18354517, 33.1574034, 32.94667621, 32.61862763, 32.61862763, 32.61862763, 32.61862763, 31.37497678, 31.28414883, 31.28414883, 31.28414883, 30.58292155, 30.58292155, 30.58292155, 30.58292155, 29.77467261, 29.77369741, 29.79066592, 29.79066592, 28.9638135, 28.9638135, 28.9638135, 28.9638135, 
Existierender Preis [1/0], 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
