t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 
Power Charge [kW], 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 3.89000000035, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 
Power Buy [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.9769837185, 22.0, 22.0, 22.0, 0.0, 13.0158751659, 0.0, 7.10999999965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Discharge [kW], 0.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -7.9769837184800005, -11.0, -11.0, -11.0, 0.0, -2.01587516588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Power Sell [kW], 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.832858884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -22.0, -22.0, -22.0, -22.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
Resulting Power [kW], 0.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, 11.0, 11.0, 11.0, 11.0, 0.0, 11.0, 0.0, 11.0, 0.1671411159999998, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, -11.0, -11.0, -11.0, -11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 
Energy [kWh], 33.33134969, 30.2757941344, 27.2202385789, 24.1646830233, 21.1091274678, 18.0535719122, 14.9980163567, 11.9424608011, 14.4174608011, 16.8924608011, 19.3674608011, 21.8424608011, 21.2619052456, 23.7369052456, 23.15634969, 25.63134969, 25.0972222222, 27.5722222222, 30.0472222222, 32.5222222222, 34.9972222222, 37.4722222222, 39.9472222222, 42.4222222222, 39.3666666667, 36.3111111111, 33.2555555556, 30.2, 32.675, 35.15, 37.625, 40.1, 42.575, 45.05, 47.525, 50.0, 
Current Price [EUR/MWh], 5.292307692, 5.292307692, 5.292307692, 5.292307692, 0.0, 0.0, 0.0, 0.0, -6.0, -6.0, -6.0, -6.0, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -4.222222222, -2.0, -2.0, -2.0, -2.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 
Existierender Preis [1/0], 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
