t,preise
0,0.0
1,44.15409636
2,44.23207844
3,44.06410679
4,44.06512467
5,43.08671826
6,43.0099066
7,43.03758475
8,42.97784989
9,42.500504600000006
10,42.48233015
11,42.58023858
12,42.58046817
13,42.30490727
14,42.31077456
15,42.31077456
16,42.31077456
17,39.4088477
18,39.4088477
19,39.4088477
20,39.4088477
21,37.37458432
22,37.37458432
23,37.37458432
24,37.37458432
